[init] compiling model with torch.compile...
[init] model compiled, starting data generator...
[train] starting training loop, 600000 micro-steps
step   2650 | loss 1.4933 | lr 1.94e-04
step   2660 | loss 2.4298 | lr 1.93e-04
step   2670 | loss 2.3150 | lr 1.93e-04
step   2680 | loss 2.2713 | lr 1.93e-04
step   2690 | loss 2.3629 | lr 1.93e-04
step   2700 | loss 2.2092 | lr 1.93e-04
step   2710 | loss 2.6513 | lr 1.93e-04
step   2720 | loss 1.9514 | lr 1.93e-04
step   2730 | loss 2.4668 | lr 1.93e-04
step   2740 | loss 1.6385 | lr 1.93e-04
step   2750 | loss 1.7842 | lr 1.93e-04
step   2760 | loss 1.8765 | lr 1.93e-04
step   2770 | loss 1.7866 | lr 1.93e-04
step   2780 | loss 2.5756 | lr 1.93e-04
step   2790 | loss 2.4653 | lr 1.92e-04
step   2800 | loss 2.0247 | lr 1.92e-04
step   2810 | loss 2.3061 | lr 1.92e-04
step   2820 | loss 2.3952 | lr 1.92e-04
step   2830 | loss 1.9146 | lr 1.92e-04
step   2840 | loss 2.2321 | lr 1.92e-04
step   2850 | loss 2.4679 | lr 1.92e-04
step   2860 | loss 1.7997 | lr 1.92e-04
step   2870 | loss 1.6730 | lr 1.92e-04
step   2880 | loss 2.3192 | lr 1.92e-04
step   2890 | loss 2.3092 | lr 1.92e-04
step   2900 | loss 1.9121 | lr 1.92e-04
step   2910 | loss 2.2572 | lr 1.91e-04
step   2920 | loss 1.9764 | lr 1.91e-04
step   2930 | loss 2.2836 | lr 1.91e-04
step   2940 | loss 2.1741 | lr 1.91e-04
step   2950 | loss 2.1300 | lr 1.91e-04
step   2960 | loss 1.9688 | lr 1.91e-04
step   2970 | loss 1.8730 | lr 1.91e-04
step   2980 | loss 1.9154 | lr 1.91e-04
step   2990 | loss 1.9198 | lr 1.91e-04
step   3000 | loss 2.0070 | lr 1.91e-04
[checkpoint] new best model saved (loss=2.0070)
[checkpoint] saved at step 3000
step   3010 | loss 2.0836 | lr 1.91e-04
step   3020 | loss 2.0223 | lr 1.90e-04
step   3030 | loss 2.2373 | lr 1.90e-04
step   3040 | loss 1.9092 | lr 1.90e-04
step   3050 | loss 2.1409 | lr 1.90e-04
step   3060 | loss 1.8752 | lr 1.90e-04
step   3070 | loss 1.8496 | lr 1.90e-04
step   3080 | loss 1.8428 | lr 1.90e-04
step   3090 | loss 1.8952 | lr 1.90e-04
step   3100 | loss 2.7362 | lr 1.90e-04
step   3110 | loss 1.9121 | lr 1.90e-04
step   3120 | loss 2.2565 | lr 1.89e-04
step   3130 | loss 1.4339 | lr 1.89e-04
step   3140 | loss 2.4398 | lr 1.89e-04
step   3150 | loss 2.0540 | lr 1.89e-04
step   3160 | loss 1.6232 | lr 1.89e-04
step   3170 | loss 1.2743 | lr 1.89e-04
step   3180 | loss 2.4994 | lr 1.89e-04
step   3190 | loss 1.7181 | lr 1.89e-04
step   3200 | loss 2.1033 | lr 1.89e-04
step   3210 | loss 2.4245 | lr 1.89e-04
step   3220 | loss 1.7647 | lr 1.88e-04
step   3230 | loss 1.7261 | lr 1.88e-04
step   3240 | loss 1.9106 | lr 1.88e-04
